open,high,low,close,volume,resistance,support,prev_close,tr,atr,hour,current_minutes,session_progress,is_early_session,is_late_session,hl_ratio,open_to_support_dist,volume_ma,volume_ratio,rsi_14,macd,macd_signal,macd_hist,macd_norm,macd_hist_norm,5ma,10ma,50ma,200ma,5_10_ma_diff_pct,close_5ma_diff_pct,close_10ma_diff_pct,golden_cross_pct,close_50ma_diff_pct,close_200ma_diff_pct,5ma_roc,50ma_roc,volume_pressure_prev,range_per_volume_prev,gap_pct,candle_type,candle_type_lag1,candle_type_lag2,open_above_resistance,open_below_support,open_sr_position,sr_range_atr,resistance_breakout_strength,support_breakdown_strength,resistance_breakout_conviction,support_breakdown_conviction,breakout_volume_ratio,resistance_touch_count,support_touch_count
1384.9,1384.9,1371.6,1375.0,52370,,,,,,9,555,0.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1375.0,1377.1,1373.5,1375.4,17526,,,1375.0,3.599999999999909,,9,560,0.013333333333333334,1,0,0.009672727272727406,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-0.00018903952644644054,0.0002539621920947142,0.0,-0.7443609022556358,,,,,,,,,,,,,
1375.7,1379.6,1375.1,1376.7,20145,,,1375.4,4.5,,9,565,0.02666666666666667,1,0,0.002617420386796502,,,,,0.03190883190882232,0.006381766381764464,0.025527065527057857,2.3199674210282332e-05,1.8559739368225867e-05,,,,,,,,,,,,,2.2823234052270395e-05,0.00020540910647038168,0.00021811836556634762,0.11111111111113918,-0.7443609022556358,,,,,,,,,,,,
1376.6,1377.5,1375.0,1377.5,11279,,,1376.7,2.5,,9,570,0.04,1,0,0.0032686859882327304,,,,,0.16024869927991858,0.03715515296139529,0.12309354631852329,0.00011640059510417562,8.941203335405192e-05,,,,,,,,,,,,,4.9640109208240255e-05,0.00022338049143708115,-7.263746640527088e-05,0.2222222222222222,0.11111111111113918,-0.7443609022556358,,,,,,,,,,,
1377.2,1379.5,1376.9,1379.0,30793,,,1377.5,2.599999999999909,,9,575,0.05333333333333334,1,0,0.0018148820326678765,,,,,0.32279134523423636,0.0942823914159635,0.22850895381827285,0.00023433128510652368,0.0001658867178354068,,,,,,,,,,,,,7.979430800603696e-05,0.0002216508555723025,-0.00021778584392011217,0.3600000000000364,0.2222222222222222,0.11111111111113918,,,,,,,,,,,
1379.0,1382.0,1378.5,1378.5,24159,,,1379.0,3.5,,9,580,0.06666666666666667,1,0,0.0018854242204495353,,,,,0.566119157931098,0.18864974471899043,0.3774694132121076,0.00041052875847070195,0.0002737269131342332,1376.72,,,,,0.0016533720087019382,,,,,,,5.8454843633291805e-05,8.443477413697623e-05,0.0,0.6923076923076991,0.3600000000000364,0.2222222222222222,,,,,,,,,,,
1378.5,1382.5,1378.5,1382.2,15014,,,1378.5,4.0,,9,585,0.08,1,0,0.0025389916575988395,,,,,0.7104230663637736,0.2930044090479471,0.4174186573158265,0.0005153594968181166,0.0003028064253288549,1377.42,,,,,0.0007834602829161605,,,,,,,-2.0696220870069125e-05,0.00014487354609048387,0.0,-0.14285714285714285,0.6923076923076991,0.3600000000000364,,,,,,,,,,,
1383.5,1387.0,1381.7,1381.9,98417,,,1382.2,5.2999999999999545,,9,590,0.09333333333333334,1,0,0.002893937201562726,,,,,1.1105423898777644,0.45651200521391055,0.6540303846638539,0.0008034599839949098,0.0004731807152827766,1378.7800000000002,,,,,0.002474316307336019,,,,,,,0.0002464366591181594,0.0002664180098574664,0.0009405295905078531,0.9250000000000114,-0.14285714285714285,0.6923076923076991,,,,,,,,,,,
1381.5,1387.7,1381.2,1385.4,62747,,,1381.9,6.5,,9,595,0.10666666666666667,1,0,0.0038352992257037082,,,,,1.3874388126894246,0.6426973667090135,0.7447414459804111,0.001004008113965862,0.0005389257153053124,1379.8200000000002,,,,,0.0015051740357478307,,,,,,,-1.6257353912432903e-05,5.3852484834936594e-05,-0.0002894565453361972,-0.30188679245281563,0.9250000000000114,-0.14285714285714285,,,,,,,,,,,
1386.0,1386.4,1384.0,1385.4,12004,,,1385.4,2.400000000000091,,10,600,0.12,1,0,0.004691785765843799,,,,,1.867771465174883,0.8877121864021873,0.9800592787726956,0.001348182088331805,0.0007074197190505959,1381.4,,,,,0.0028872527789807994,,,,,,,6.215436594578371e-05,0.00010359060990963712,0.0004330879168470543,0.600000000000014,-0.30188679245281563,0.9250000000000114,,,,,,,,,,0.0,0.0
